Overhead + backofftime 0(s);Overhead + backofftime 1(s);Overhead + backofftime 2(s);Overhead + backofftime 3(s);Overhead + backofftime 4(s);Overhead + backofftime 5(s);Overhead + backofftime 6(s);Overhead + backofftime 7(s);Overhead + backofftime 8(s);Overhead + backofftime 9(s);Overhead + backofftime 10(s);Overhead + backofftime 11(s);Distance host 0(m);Distance host 1(m);Distance host 2(m);Distance host 3(m);Distance host 4(m);Distance host 5(m);Distance host 6(m);Distance host 7(m);Distance host 8(m);Distance host 9(m);Distance host 10(m);Distance host 11(m);Min max position X (m);Min max position Y (m);Likelihood position X (m);Likelihood position Y (m);Real position X (m);Real position Y (m)
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
0.001142;0.001142;0.0028101;0.003654167;0.004598184;0.005462217;0.006346267;0.007250317;0.008114334;0.009018384;0.009902417;0.010806434;4.999938615;123529.4925;9.999877229;2.499969307;4.999938615;7.499907922;7.499907922;2.499969307;7.499907922;4.999938615;2.499969307;9.999877229;7.499969307;0;-203460462.3;85969213.64;10;0
