Overhead + backofftime 0(s);Overhead + backofftime 1(s);Overhead + backofftime 2(s);Overhead + backofftime 3(s);Overhead + backofftime 4(s);Overhead + backofftime 5(s);Distance host 0(m);Distance host 1(m);Distance host 2(m);Distance host 3(m);Distance host 4(m);Distance host 5(m);Min max position X (m);Min max position Y (m);Likelihood position X (m);Likelihood position Y (m);Real position X (m);Real position Y (m)
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
0.001202;0.002046033;0.0029101;0.003754133;0.004638167;0.005482234;4.999938615;9.999877229;4.999938615;4.999938615;9.999877229;9.999877229;15;0;10;5.41633E-05;10;0
